SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
513456,KANISHK STEEL INDUSTRIES LTD.,Active,X,10.00,INE791E01018,Iron & Steel Products,KANSHST,Equity,https://www.bseindia.com/stock-share-price/kanishk-steel-industries-ltd/kanshst/513456/,Kanishk Steel Industries Ltd,105.50
513458,ASIAN ALLOYS LTD.,Delisted,P,10.00,,,ASIANAL-B,Equity,https://www.bseindia.com/stock-share-price/asian-alloys-ltd/asianal-b/513458/,Asian Alloys Ltd.,
513460,MAHALAXMI SEAMLESS LTD.-$,Active,Z,10.00,INE257F01017,Iron & Steel Products,MAHALXSE,Equity,https://www.bseindia.com/stock-share-price/mahalaxmi-seamless-ltd/mahalxse/513460/,Mahalaxmi Seamless Ltd.,5.29
513462,SAMANA STEELS LTD.,Delisted,P,10.00,NA,,SAMNAST,Equity,https://www.bseindia.com/stock-share-price/samana-steels-ltd/samnast/513462/,Samana Steels Ltd.,
513464,USHA IRON & FERRO METALS CORPORATION LTD.,Delisted,P,10.00,NA,,USHAIRN,Equity,https://www.bseindia.com/stock-share-price/usha-iron--ferro-metals-corporation-ltd/ushairn/513464/,Usha Iron & Ferro Metals Corporatio,
513470,DENHOLM STEELS LTD.,Delisted,Z,10.00,NA,,DENHSTLDM,Equity,https://www.bseindia.com/stock-share-price/denholm-steels-ltd/denhstldm/513470/,Denholm Steels Ltd.,
513472,SIMPLEX CASTINGS LTD.,Active,X,10.00,INE658D01011,Other Industrial Products,SIMPLEXCAS,Equity,https://www.bseindia.com/stock-share-price/simplex-castings-ltd/simplexcas/513472/,Simplex Castings Ltd.,44.08
513476,SHATRUNJAY EXTRUSIONS LTD.,Delisted,Z,10.00,NA,,STRNJAY,Equity,https://www.bseindia.com/stock-share-price/shatrunjay-extrusions-ltd/strnjay/513476/,Shatrunjay Extrusions Ltd.,
513478,SAURABH ALLOY CASTINGS LTD.,Delisted,Z,10.00,NA,,SAURALL,Equity,https://www.bseindia.com/stock-share-price/saurabh-alloy-castings-ltd/saurall/513478/,Saurabh Alloy Castings Ltd.,
513480,RAKAN STEELS LTD.,Delisted,Z,10.00,NA,,RAKSTEL,Equity,https://www.bseindia.com/stock-share-price/rakan-steels-ltd/rakstel/513480/,Rakan Steels Ltd,
513482,UNI-METAL ALLOYS LTD.,Delisted,P,10.00,NA,,UNIMETA,Equity,https://www.bseindia.com/stock-share-price/uni-metal-alloys-ltd/unimeta/513482/,Uni Metal Alloys Ltd.,
513486,TRIDENT STEELS LTD.,Delisted,Z,10.00,NA,,TRIDSTLDM,Equity,https://www.bseindia.com/stock-share-price/trident-steels-ltd/tridstldm/513486/,Trident Steels Ltd.,
513488,SHREE STEEL WIRE ROPES LTD.,Active,X,10.00,INE387D01025,Iron & Steel Products,SSWRL,Equity,https://www.bseindia.com/stock-share-price/shree-steel-wire-ropes-ltd/sswrl/513488/,Shree Steel Wire Ropes Ltd.,14.22
513490,GUJARAT CONCAST LTD.,Delisted,Z,10.00,NA,,GUJCONC,Equity,https://www.bseindia.com/stock-share-price/gujarat-concast-ltd/gujconc/513490/,Gujarat Concast Ltd.,
513492,ASLO STEEL LTD.,Delisted,Z,10.00,NA,,ASLOSTL,Equity,https://www.bseindia.com/stock-share-price/aslo-steel-ltd/aslostl/513492/,Aslo Steel Ltd.,
